,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,2022,4,6,6,2201,MALAKAS,2,3.4,150.2,1004,0,0,0,0,0,0,0,0,2022-04-06 06:00:00,1649224800
1,2022,4,6,12,2201,MALAKAS,2,3.5,149.6,1006,0,0,0,0,0,0,0,0,2022-04-06 12:00:00,1649246400
2,2022,4,6,18,2201,MALAKAS,2,3.5,149.1,1004,0,0,0,0,0,0,0,0,2022-04-06 18:00:00,1649268000
3,2022,4,7,0,2201,MALAKAS,2,3.8,148.4,1006,0,0,0,0,0,0,0,0,2022-04-07 00:00:00,1649289600
4,2022,4,7,6,2201,MALAKAS,2,4.0,147.7,1004,0,0,0,0,0,0,0,0,2022-04-07 06:00:00,1649311200
5,2022,4,7,12,2201,MALAKAS,2,4.1,147.1,1004,0,0,0,0,0,0,0,0,2022-04-07 12:00:00,1649332800
6,2022,4,7,18,2201,MALAKAS,2,4.5,146.3,1002,0,0,0,0,0,0,0,0,2022-04-07 18:00:00,1649354400
7,2022,4,8,0,2201,MALAKAS,3,5.1,145.9,1000,35,0,0,0,9,180,180,0,2022-04-08 00:00:00,1649376000
8,2022,4,8,6,2201,MALAKAS,3,5.6,145.7,998,35,0,0,0,9,180,180,0,2022-04-08 06:00:00,1649397600
9,2022,4,8,12,2201,MALAKAS,3,6.4,145.2,998,35,0,0,0,9,180,180,0,2022-04-08 12:00:00,1649419200
10,2022,4,8,18,2201,MALAKAS,3,6.7,144.9,996,40,0,0,0,8,240,200,0,2022-04-08 18:00:00,1649440800
11,2022,4,9,0,2201,MALAKAS,3,7.1,144.6,996,40,0,0,0,8,240,200,0,2022-04-09 00:00:00,1649462400
12,2022,4,9,6,2201,MALAKAS,3,7.5,143.6,996,40,0,0,0,8,240,200,0,2022-04-09 06:00:00,1649484000
13,2022,4,9,12,2201,MALAKAS,3,8.2,142.4,996,40,0,0,0,8,240,200,0,2022-04-09 12:00:00,1649505600
14,2022,4,9,18,2201,MALAKAS,3,9.4,141.2,996,40,0,0,0,8,240,200,0,2022-04-09 18:00:00,1649527200
15,2022,4,10,0,2201,MALAKAS,3,10.6,139.6,994,45,0,0,0,8,300,240,0,2022-04-10 00:00:00,1649548800
16,2022,4,10,6,2201,MALAKAS,3,11.1,138.6,992,45,0,0,0,8,300,240,0,2022-04-10 06:00:00,1649570400
17,2022,4,10,12,2201,MALAKAS,4,11.5,138.0,990,50,0,0,0,1,325,270,0,2022-04-10 12:00:00,1649592000
