,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,2020,5,8,6,2001,VONGFONG,2,6.8,134.0,1006,0,0,0,0,0,0,0,0,2020-05-08 06:00:00,1588917600
1,2020,5,8,12,2001,VONGFONG,2,6.4,133.4,1008,0,0,0,0,0,0,0,0,2020-05-08 12:00:00,1588939200
2,2020,5,8,18,2001,VONGFONG,2,6.3,132.9,1006,0,0,0,0,0,0,0,0,2020-05-08 18:00:00,1588960800
3,2020,5,9,0,2001,VONGFONG,2,6.5,132.7,1008,0,0,0,0,0,0,0,0,2020-05-09 00:00:00,1588982400
4,2020,5,9,6,2001,VONGFONG,2,6.7,132.5,1006,0,0,0,0,0,0,0,0,2020-05-09 06:00:00,1589004000
5,2020,5,9,12,2001,VONGFONG,2,7.0,132.2,1008,0,0,0,0,0,0,0,0,2020-05-09 12:00:00,1589025600
6,2020,5,9,18,2001,VONGFONG,2,7.2,132.0,1006,0,0,0,0,0,0,0,0,2020-05-09 18:00:00,1589047200
7,2020,5,10,0,2001,VONGFONG,2,7.6,131.4,1006,0,0,0,0,0,0,0,0,2020-05-10 00:00:00,1589068800
8,2020,5,10,6,2001,VONGFONG,2,7.9,130.9,1004,0,0,0,0,0,0,0,0,2020-05-10 06:00:00,1589090400
9,2020,5,10,12,2001,VONGFONG,2,8.2,130.3,1006,0,0,0,0,0,0,0,0,2020-05-10 12:00:00,1589112000
10,2020,5,10,18,2001,VONGFONG,2,8.3,129.7,1004,0,0,0,0,0,0,0,0,2020-05-10 18:00:00,1589133600
11,2020,5,11,0,2001,VONGFONG,2,8.3,129.2,1006,0,0,0,0,0,0,0,0,2020-05-11 00:00:00,1589155200
12,2020,5,11,6,2001,VONGFONG,2,8.7,129.0,1004,0,0,0,0,0,0,0,0,2020-05-11 06:00:00,1589176800
13,2020,5,11,12,2001,VONGFONG,2,9.1,129.1,1006,0,0,0,0,0,0,0,0,2020-05-11 12:00:00,1589198400
14,2020,5,11,18,2001,VONGFONG,2,9.6,129.2,1004,0,0,0,0,0,0,0,0,2020-05-11 18:00:00,1589220000
15,2020,5,12,0,2001,VONGFONG,2,10.2,129.4,1006,0,0,0,0,0,0,0,0,2020-05-12 00:00:00,1589241600
16,2020,5,12,6,2001,VONGFONG,2,10.7,129.5,1004,0,0,0,0,0,0,0,0,2020-05-12 06:00:00,1589263200
17,2020,5,12,12,2001,VONGFONG,3,11.3,129.5,1000,35,0,0,0,1,90,60,0,2020-05-12 12:00:00,1589284800
18,2020,5,12,18,2001,VONGFONG,3,11.6,129.2,998,40,0,0,0,1,90,60,0,2020-05-12 18:00:00,1589306400
19,2020,5,13,0,2001,VONGFONG,4,11.8,128.9,992,50,0,0,0,1,90,60,0,2020-05-13 00:00:00,1589328000
20,2020,5,13,6,2001,VONGFONG,4,12.0,128.4,985,60,9,20,20,1,90,60,0,2020-05-13 06:00:00,1589349600
21,2020,5,13,12,2001,VONGFONG,5,12.2,127.8,975,70,9,25,25,1,90,60,0,2020-05-13 12:00:00,1589371200
22,2020,5,13,18,2001,VONGFONG,5,12.2,127.0,965,80,9,30,30,1,90,60,0,2020-05-13 18:00:00,1589392800
